Window_Minutes,Trial_ID,Model,Target,Cell,RMSE,MAE,MedAE,RMSE_frac,MAE_frac,MedAE_frac,r,R2,m,c
1,6,Random Forest,RUL,5,1325.6156536157496,1199.0833333333333,1319.0,0.5215536997832457,0.4717704918032787,0.5189508196721312,0.9269210950669887,0.21733015372243347,0.9586457785613398,1294.7475350454843
1,6,Random Forest,RUL,6,1622.2035600515437,1503.5121951219512,1451.0,0.6035421593658193,0.5593829401088929,0.5398457350272232,0.9438172925344843,-0.22628477493111254,1.1902409254464508,965.5475613610023
1,6,Random Forest,RUL,7,2178.4833185569196,1947.6615384615384,2121.0,0.5400511659275353,0.48282990083905414,0.5258009153318078,0.9674011673904387,0.21022083097330013,0.5688988445749696,-130.69656996241542
1,6,Random Forest,RUL,8,1058.9454624943219,731.3432835820895,336.0,0.2753176018126487,0.19014357780364766,0.08735739231664727,0.9505894596043339,0.8020076220114174,0.6750871529790836,1747.851353392388
1,7,Random Forest,RUL,1,587.6027919401765,526.0,469.0,0.144136437539089,0.1290255376344086,0.11504368279569892,0.988328176893057,0.9417072549224603,0.925547855977443,-134.53482108064523
1,7,Random Forest,RUL,2,818.8622521887925,562.5522388059702,322.0,0.2165960161731113,0.14879984208448482,0.08517173312277931,0.9583194085187692,0.8701582345080217,1.1012651710441406,-629.6636988877735
1,7,Random Forest,RUL,3,302.4762249610152,234.4,206.5,0.07593545396510841,0.058845188284518825,0.05184100418410042,0.9938599081031833,0.9855029216806486,0.9407101294905764,226.87131752920382
1,7,Random Forest,RUL,4,2070.077234331502,2006.341463414634,1882.0,0.7680829557248108,0.7444343891402715,0.6982986425339367,0.9890562846156925,-1.145775567166313,1.3037672771250863,1187.6516067726322
1,7,Random Forest,RUL,5,1469.3609786959385,1359.8,1551.0,0.5137625799636149,0.47545454545454546,0.5423076923076923,0.9046611857516198,-0.22544367864556314,0.8510638297872344,1781.2431610942242
1,7,Random Forest,RUL,6,1601.1277604436061,1487.421052631579,1587.5,0.6018086537770231,0.5590702274975272,0.5966864490603363,0.9331274629003821,-0.16540571770372603,1.0333581199137394,1398.6708967558122
1,7,Random Forest,RUL,7,2190.1853767695975,1941.4307692307693,2063.0,0.5329915742793854,0.47245600898539875,0.5020404342942718,0.9733242285049059,0.20132248349204196,0.5420129344520963,27.497618582230565
1,7,Random Forest,RUL,8,1131.949788012103,779.5483870967741,382.5,0.2957475215202292,0.20367467340918666,0.09993678887484198,0.9206273749568427,0.7680570674836745,0.6661366004857031,1751.8029791087554
1,8,Random Forest,RUL,1,597.6559560408018,523.0,478.0,0.14461158921897335,0.12654749006861682,0.11565908270133622,0.9887356511258405,0.9387096467917928,0.9555095151853844,-289.12813066914777
1,8,Random Forest,RUL,2,800.4716973115795,554.8602339181286,373.76666666666654,0.2098752840237352,0.14547853419196566,0.09799770009199629,0.958958027946884,0.8811365331796115,1.0923398406751355,-532.2762812182638
1,8,Random Forest,RUL,3,362.8320846290812,268.30338541666663,237.25,0.09292218253806,0.06871315192743763,0.06076030412164866,0.9896078332098811,0.9765549468393905,0.9284305535446509,253.0774167061232
1,8,Random Forest,RUL,4,2085.0189027920105,2011.575,1799.5,0.8097160787541788,0.7811941747572816,0.6988349514563107,0.9869502931666339,-1.050735927825933,1.3102125714959612,1212.7776283979013
1,8,Random Forest,RUL,5,1491.535546764767,1376.0162601626016,1481.0,0.5880092059361102,0.5424679487179487,0.5838557692307692,0.9216607521834809,-0.04295560674712284,0.9479283218896014,1502.9297851255656
1,8,Random Forest,RUL,6,1592.1872208824764,1472.5853658536585,1580.0,0.6560771462932817,0.6067939698492462,0.6510552763819095,0.9284045457812902,-0.2901792036282387,1.1515144203113552,1071.958906805369
1,8,Random Forest,RUL,7,2163.4577576925476,1945.2039800995024,2151.0,0.5453411202611012,0.4903260596940055,0.5422009029345373,0.9629089202512991,0.198797659280478,0.5756004070521819,-180.8346496687046
1,8,Random Forest,RUL,8,980.7709180792424,656.6875,309.5,0.24471477098273495,0.16385185185185186,0.07722417153996101,0.9590063390176816,0.8379879079456444,0.6930406745970558,1621.9854213414892
1,9,Random Forest,RUL,1,597.2738065577629,517.3030303030303,481.0,0.1459462096735,0.12640503517215845,0.11753424657534246,0.9888089562991126,0.9389730510803626,0.9622282579454826,-319.9674616829529
1,9,Random Forest,RUL,2,720.8830362801775,513.0026041666667,343.0,0.1876994073308843,0.1335726878220776,0.08930838079739625,0.9653557237893049,0.9049183380156477,1.0780016310177472,-449.11928496086693
1,9,Random Forest,RUL,3,353.00326832693054,257.0681818181818,202.0,0.09111543101125309,0.06635314822057098,0.052139225655064535,0.9910316566238702,0.9787729340631838,0.9252223026070092,310.24480641496746
1,9,Random Forest,RUL,4,2117.9342361299673,2047.095238095238,1904.5,0.817584907329583,0.7902389705882353,0.7351930147058824,0.9910687361234034,-0.8409626850809191,1.3007620075754056,1267.978418471331
1,9,Random Forest,RUL,5,1465.975727402515,1362.7222222222222,1514.5,0.6101170657397751,0.5671445086705202,0.6303121387283237,0.9245558652362594,-0.15078645936197188,0.9526582571366004,1476.4739099356684
